geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.551426655288807,-46.63440979032252,sao paulo,SP
1002,-23.54887845100703,-46.636361251312856,sao paulo,SP
1003,-23.549083261659398,-46.63715701234924,sao paulo,SP
1004,-23.550765432973613,-46.63537055343637,sao paulo,SP
1005,-23.54998003358531,-46.6384109454671,sao paulo,SP
1006,-23.55069564418031,-46.63669363835193,sao paulo,SP
1007,-23.551083240637045,-46.638634972098856,sao paulo,SP
1008,-23.5480135387212,-46.63709742838599,sao paulo,SP
1009,-23.549074826533555,-46.6375916208613,sao paulo,SP
1010,-23.547806958346342,-46.636121818538065,sao paulo,SP
1011,-23.54763955032063,-46.636031623154956,sao paulo,SP
1012,-23.549008201223373,-46.63536053788447,sao paulo,SP
1013,-23.547686322234373,-46.6343615111085,sao paulo,SP
1014,-23.54721571734559,-46.63409123397196,sao paulo,SP
1015,-23.54956898779498,-46.633576159587996,sao paulo,SP
1016,-23.54944327061568,-46.63349062767613,sao paulo,SP
1017,-23.550159930319218,-46.63222267678466,sao paulo,SP
1018,-23.552143145161253,-46.63375643672454,sao paulo,SP
1019,-23.5523910910324,-46.63143237370885,sao paulo,SP
1020,-23.552555489324178,-46.63206,sao paulo,SP
1021,-23.548327931444412,-46.63264375243805,sao paulo,SP
1022,-23.54779462858564,-46.63345367485142,sao paulo,SP
1023,-23.54417619677996,-46.63217303372952,sao paulo,SP
1024,-23.54186295323959,-46.630035294315356,sao paulo,SP
1025,-23.54120589231918,-46.63380609463906,sao paulo,SP
1026,-23.54131233975484,-46.635454996249095,sao paulo,SP
1027,-23.53887661143173,-46.632533050233725,sao paulo,SP
1028,-23.536566774914853,-46.63955927212049,sao paulo,SP
1029,-23.54376905576913,-46.63427784085132,sao paulo,SP
1030,-23.543657905360924,-46.633545299324894,sao paulo,SP
1031,-23.544207,-46.636289999999974,sao paulo,SP
1032,-23.54246023535693,-46.63618792951116,sao paulo,SP
1033,-23.542949999999962,-46.63794453344108,sao paulo,SP
1034,-23.543343,-46.63846917609737,sao paulo,SP
1035,-23.5439473297362,-46.644147057043064,sao paulo,SP
1036,-23.545253630301843,-46.64480666210705,sao paulo,SP
1037,-23.546723374689808,-46.64033633250615,sao paulo,SP
1038,-23.545100693029053,-46.641578054821345,sao paulo,SP
1039,-23.54365254441403,-46.64178532520526,sao paulo,SP
1040,-23.544527209169782,-46.643018696461155,sao paulo,SP
1041,-23.544638172081452,-46.640906178313884,sao paulo,SP
1042,-23.545949119754194,-46.64177212614691,sao paulo,SP
1043,-23.546844062727214,-46.642523490420714,sao paulo,SP
1044,-23.547276880373964,-46.64244051581169,sao paulo,SP
1045,-23.543438228691826,-46.644060776444036,sao paulo,SP
1046,-23.547190641410356,-46.64577102790114,sao paulo,SP
1047,-23.54731074271453,-46.64251431141433,sao paulo,SP
1048,-23.54763491144911,-46.641159240637045,sao paulo,SP
1049,-23.54877762753189,-46.64099781196259,sao paulo,SP
1050,-23.55073674632121,-46.64581975812219,sao paulo,SP
1101,-23.533718588348002,-46.633278362782676,sao paulo,SP
1102,-23.532989626146907,-46.632554497634075,sao paulo,SP
1103,-23.539337475993985,-46.632052791563275,sao paulo,SP
1104,-23.535779857060444,-46.63278653788446,sao paulo,SP
1105,-23.53544185928213,-46.631472647931226,sao paulo,SP
1106,-23.532496356079488,-46.629636915344236,sao paulo,SP
1107,-23.53366766386429,-46.63442349713816,sao paulo,SP
1108,-23.532131979486646,-46.636444186118354,sao paulo,SP
1109,-23.529663,-46.62896529892085,sao paulo,SP
1120,-23.534092637165102,-46.64093632015691,sao paulo,SP
1121,-23.531863463500503,-46.636651874285775,sao paulo,SP
1122,-23.53206967831387,-46.64114932835121,sao paulo,SP
1123,-23.530716261728877,-46.638045565471494,sao paulo,SP
1124,-23.53080173669523,-46.63591869983837,sao paulo,SP
1125,-23.530707167638052,-46.649294612268456,sao paulo,SP
1126,-23.52983803303705,-46.64326786984238,sao paulo,SP
1127,-23.527789237426237,-46.64746678434991,sao paulo,SP
1128,-23.525771258958923,-46.647641137659434,sao paulo,SP
1129,-23.5259237463212,-46.64837372023772,sao paulo,SP
1130,-23.529749783513182,-46.648225220237705,sao paulo,SP
1131,-23.529312376911516,-46.650133303508476,sao paulo,SP
1132,-23.526638737722863,-46.65006582405205,sao paulo,SP
1133,-23.522591105747573,-46.65516216180967,sao paulo,SP
1134,-23.522877997201377,-46.6531159131789,sao paulo,SP
1135,-23.527857489035732,-46.65513052553521,sao paulo,SP
1136,-23.526210142939554,-46.666944167638064,sao paulo,SP
1137,-23.524983219545234,-46.65432096003805,sao paulo,SP
1138,-23.52503669608748,-46.65597299999999,sao paulo,SP
1139,-23.522467263402323,-46.68080500637664,sao paulo,SP
1140,-23.52584359478331,-46.67919052719926,sao paulo,SP
1141,-23.524057037191977,-46.673190554821346,sao paulo,SP
1142,-23.519934305152642,-46.6251300217966,sao paulo,SP
1144,-23.524610951151253,-46.67368155773555,sao paulo,SP
1150,-23.534162574817852,-46.66333179378497,sao paulo,SP
1151,-23.53395913266777,-46.66030962184772,sao paulo,SP
1152,-23.53282876824974,-46.65977780474922,sao paulo,SP
1153,-23.536180980592388,-46.6566534060534,sao paulo,SP
1154,-23.531867563186864,-46.66209120330085,sao paulo,SP
1155,-23.531206997778305,-46.66440420330082,sao paulo,SP
1156,-23.531697,-46.67121817317798,sao paulo,SP
1189,-23.532108255063783,-46.63839470107914,sao paulo,SP
1200,-23.53156777324141,-46.649869077846425,sao paulo,SP
1201,-23.540438032748586,-46.65354418887412,sao paulo,SP
1202,-23.540159755208002,-46.65172792853023,sao paulo,SP
1203,-23.54200768942237,-46.649744454902155,sao paulo,SP
1204,-23.540890212043408,-46.648737545097816,sao paulo,SP
1205,-23.54159523980033,-46.64901814279533,sao paulo,SP
1206,-23.540679937821,-46.64701052579501,sao paulo,SP
1207,-23.541642178950386,-46.64039303580703,sao paulo,SP
1208,-23.541414828668213,-46.64043744205929,sao paulo,SP
1209,-23.542991622540217,-46.644887142795326,sao paulo,SP
1210,-23.54181492728946,-46.6443721305903,sao paulo,SP
1211,-23.53885229309248,-46.652845513297045,sao paulo,SP
1212,-23.561008155981302,-46.64513206549717,sao paulo,SP
1213,-23.53947148043739,-46.644406449622046,sao paulo,SP
1214,-23.541020957816354,-46.64669094546709,sao paulo,SP
1215,-23.53816770635925,-46.650504819183,sao paulo,SP
1216,-23.535972856679678,-46.651407002063245,sao paulo,SP
1217,-23.534073138952856,-46.651726401218575,sao paulo,SP
1218,-23.534083351924554,-46.652518770471445,sao paulo,SP
1219,-23.543088443245395,-46.64751202553524,sao paulo,SP
1220,-23.546788658895487,-46.646712952824686,sao paulo,SP
1221,-23.547198478215684,-46.64902242728947,sao paulo,SP
1222,-23.54755400444339,-46.651743518870134,sao paulo,SP
1223,-23.544747471002324,-46.654370276992324,sao paulo,SP
1224,-23.543491138496165,-46.65572103136361,sao paulo,SP
1225,-23.541237464608663,-46.651205362888824,sao paulo,SP
1226,-23.54342291035259,-46.655027617404315,sao paulo,SP
1227,-23.554602785186628,-46.66310018344976,sao paulo,SP
1228,-23.55442720760001,-46.66300379101501,sao paulo,SP
1229,-23.541424418258444,-46.662592143083785,sao paulo,SP
1230,-23.541453553880487,-46.65960890022503,sao paulo,SP
1231,-23.539929485429038,-46.66112999999999,sao paulo,SP
1232,-23.540068791563268,-46.66230152415024,sao paulo,SP
1233,-23.54349019594325,-46.66453008133753,sao paulo,SP
1234,-23.54530496189244,-46.66612477990651,sao paulo,SP
1235,-23.54081845213221,-46.66832518177633,sao paulo,SP
1236,-23.54618152506995,-46.66904927240468,sao paulo,SP
1237,-23.54431769357731,-46.66982279920932,sao paulo,SP
1238,-23.545262137111173,-46.66134804356862,sao paulo,SP
1239,-23.55241946496998,-46.659956165570314,sao paulo,SP
1240,-23.54613154316459,-46.662880425356214,sao paulo,SP
1241,-23.548801054677128,-46.66363300014422,sao paulo,SP
1242,-23.547843,-46.66379118151653,sao paulo,SP
1243,-23.550302718176,-46.66354745796057,sao paulo,SP
1244,-23.696567200104642,-46.66513927935825,sao paulo,SP
1245,-23.55168653427779,-46.664273032748596,sao paulo,SP
1246,-23.55573377906979,-46.669784331957906,sao paulo,SP
1247,-23.552137970021374,-46.67083426256561,sao paulo,SP
1248,-23.55190539439665,-46.669860561053774,sao paulo,SP
1249,-23.550655274770623,-46.673601920480145,sao paulo,SP
1250,-23.548943503202647,-46.67347418650818,sao paulo,SP
1251,-23.550832299469114,-46.676524500000006,sao paulo,SP
1252,-23.542816462952253,-46.68111560964272,sao paulo,SP
1253,-23.547418145161267,-46.680567642795324,sao paulo,SP
1254,-23.54906043075192,-46.682423634456775,sao paulo,SP
1255,-23.552378601448396,-46.684087726758605,sao paulo,SP
1256,-23.548859905360928,-46.68379694532285,sao paulo,SP
1257,-23.547438774914852,-46.690379266720534,sao paulo,SP
1258,-23.547156999163274,-46.68936010338165,sao paulo,SP
1259,-23.54341353398933,-46.690014734808656,sao paulo,SP
1262,-23.550856391462712,-46.67735184892536,sao paulo,SP
1290,-23.54096134139296,-46.65774870275258,são paulo,SP
1301,-23.55405441352221,-46.66068520417632,sao paulo,SP
1302,-23.5551702470137,-46.66250134194122,sao paulo,SP
1303,-23.551504721622706,-46.651649557735546,sao paulo,SP
1304,-23.55779826683936,-46.65995157752592,sao paulo,SP
1305,-23.556436973079794,-46.658401119481795,sao paulo,SP
1306,-23.665099526227703,-46.757023768942254,sao paulo,SP
1307,-23.558603993334888,-46.697678219401006,sao bernardo do campo,SP
1308,-23.56002289203073,-46.65547123120199,sao paulo,SP
1309,-23.557908437128567,-46.66057414793122,sao paulo,SP
1310,-23.567540129564208,-46.66368479003405,sao paulo,SP
1311,-23.571129102031588,-46.66250746083085,sao paulo,SP
1312,-23.557822146257788,-46.65319754177961,sao paulo,SP
1313,-23.55904125229381,-46.65393716166544,sao paulo,SP
1314,-23.55657037996993,-46.649035623925215,sao paulo,SP
1315,-23.556162782128204,-46.641161739800346,sao paulo,SP
1316,-23.55494573910785,-46.64019049887457,sao paulo,SP
1317,-23.562810947727122,-46.64538049222014,sao paulo,SP
1318,-23.5721428642738,-46.648598290322504,sao paulo,SP
1319,-23.554655528997674,-46.642635450458755,sao paulo,SP
1320,-23.55914850874257,-46.64041669954993,sao paulo,SP
1321,-23.568327922009345,-46.64347362392522,sao paulo,SP
1322,-23.565919379681464,-46.64493258866647,sao paulo,SP
1323,-23.572519699656677,-46.64275007216227,sao paulo,SP
1324,-23.55934737829649,-46.643861734116186,sao paulo,SP
1325,-23.561158892867443,-46.644993785186614,sao paulo,SP
1326,-23.561154038180124,-46.645893350683785,sao paulo,SP
1327,-23.571168569248076,-46.64691423313522,sao paulo,SP
1328,-23.55795365667379,-46.64901287246812,sao paulo,SP
1329,-23.563492679987306,-46.64787220858095,sao paulo,SP
1330,-23.563465575076467,-46.64989339454088,sao paulo,SP
1331,-23.565350106295835,-46.651639452680456,sao paulo,SP
1332,-23.56232857813488,-46.656310148767936,sao paulo,SP
1333,-23.570034390789967,-46.65328251887011,sao paulo,SP
1401,-23.583647236440328,-46.66936487368967,sao paulo,SP
1402,-23.58406691212703,-46.66998067037748,sao paulo,SP
1403,-23.574695269778964,-46.65934370468581,sao paulo,SP
1404,-23.573450262565604,-46.66062129531418,sao paulo,SP
1405,-23.572107387731556,-46.66197290896761,sao paulo,SP
1406,-23.580426572854773,-46.682310326533546,sao paulo,SP
1407,-23.580712008280663,-46.68338736150383,sao paulo,SP
1408,-23.57054391312255,-46.66398412046275,sao paulo,SP
1409,-23.56895368887411,-46.665774687056455,sao paulo,SP
1410,-23.568232494315854,-46.66629996003805,sao paulo,SP
1411,-23.56924447599398,-46.6677118179352,sao paulo,SP
1412,-23.566386227306854,-46.66887273411619,sao paulo,SP
1413,-23.56655899174768,-46.66892982670122,sao paulo,SP
1414,-23.565270562582974,-46.66965998265907,sao paulo,SP
1415,-23.576925572854773,-46.67039320038664,sao paulo,SP
1416,-23.63757619594325,-46.67156322202672,sao paulo,SP
1417,-23.569898071786103,-46.73233128353606,sao paulo,SP
1418,-23.571762423250103,-46.66180360698832,sao paulo,SP
1419,-23.572125359537097,-46.663709086184966,sao paulo,SP
1420,-23.56938311212421,-46.665313020255105,sao paulo,SP
1421,-23.5674332031566,-46.66632242867444,sao paulo,SP
1422,-23.568337319464426,-46.66755942576025,sao paulo,SP
1423,-23.57280200138498,-46.66328963336025,sao paulo,SP
1424,-23.578541129897808,-46.670443302527524,sao paulo,SP
1425,-23.57512289064575,-46.662383237434405,sao paulo,SP
1426,-23.568683494731477,-46.671382377604,sao paulo,SP
1427,-23.57592129280401,-46.67480027295296,sao paulo,SP
1428,-23.57646147016561,-46.66750447348383,sao paulo,SP
1429,-23.578267798228367,-46.66486514709449,sao paulo,SP
1430,-23.882646259388533,-46.673214098245744,sao paulo,SP
1431,-23.883183594407907,-46.6770547949129,sao paulo,SP
1432,-23.579689453228717,-46.668083573691476,sao paulo,SP
1433,-23.58253144047544,-46.67074707591319,sao paulo,SP
1434,-23.581037923394327,-46.678051880518176,sao paulo,SP
1435,-23.58193000222169,-46.67128941716192,sao paulo,SP
1436,-23.575257964192996,-46.67170901817765,sao paulo,SP
1437,-23.57306431112589,-46.67279275243804,sao paulo,SP
1438,-23.571245985359038,-46.67356234248948,sao paulo,SP
1439,-23.568822953372955,-46.676260927289476,sao paulo,SP
1440,-23.57155247821569,-46.68163183236194,sao paulo,SP
1441,-23.577719960326508,-46.69330789771486,sao paulo,SP
1442,-23.57757001082004,-46.69313253289282,sao paulo,SP
1443,-23.571583313347578,-46.68967376172886,sao paulo,SP
1444,-23.60567565889549,-46.745444682209005,sao paulo,SP
1445,-23.573486912574293,-46.689148854290494,sao paulo,SP
1446,-23.57718182598529,-46.679575578683135,sao paulo,SP
1447,-23.574655844018693,-46.68202924646543,sao paulo,SP
1448,-23.5823912647873,-46.68487168067982,sao paulo,SP
1449,-23.579490468492175,-46.68309745934558,sao paulo,SP
1450,-23.578738564256412,-46.687237480437396,sao paulo,SP
1451,-23.58590239716661,-46.69303526118061,sao paulo,SP
1452,-23.66655568220901,-46.77821914833967,sao paulo,SP
1453,-23.58629442576026,-46.687866893704175,sao paulo,SP
1454,-23.58503647960066,-46.68952463390854,sao paulo,SP
1455,-23.583102903975934,-46.695141952146756,sao paulo,SP
1456,-23.57858486288882,-46.694154703445065,sao paulo,SP
1457,-23.579034558976296,-46.69562928934155,sao paulo,SP
1472,-23.57054369248079,-46.69129667943905,sao paulo,SP
1489,-23.576649988891482,-46.68740004775215,sao paulo,SP
1501,-23.554029525011202,-46.64052630349439,sao paulo,SP
1502,-23.55498324839867,-46.635699052888114,sao paulo,SP
1503,-23.560970406053425,-46.638433781839744,sao paulo,SP
1504,-23.57330870413756,-46.64017469510654,sao paulo,SP
1505,-23.555519528997678,-46.63485495045875,sao paulo,SP
1506,-23.56338340161001,-46.63633536663974,sao paulo,SP
1507,-23.55959891003547,-46.63589257507647,sao paulo,SP
1508,-23.56319158312653,-46.638177322926865,sao paulo,SP
1509,-23.570197302527546,-46.638800402994974,sao paulo,SP
1510,-23.560062516244397,-46.63438992007611,sao paulo,SP
1511,-23.566734838190317,-46.63554261226844,sao paulo,SP
1512,-23.554374580068124,-46.63261889578163,sao paulo,SP
1513,-23.559407863725532,-46.632763540106176,sao paulo,SP
1514,-23.55896840383171,-46.63070772093021,sao paulo,SP
1516,-23.561860106584287,-46.62508397307979,sao paulo,SP
1517,-23.561110666108853,-46.62508132168612,sao paulo,SP
1518,-23.56123711656761,-46.62439904079866,sao paulo,SP
1519,-23.56208797807145,-46.63103293987522,sao paulo,SP
1520,-23.563206282820698,-46.620880956575604,sao paulo,SP
1521,-23.562736114345924,-46.62519993588782,sao paulo,SP
1522,-23.56496084263372,-46.618307476542256,sao paulo,SP
1523,-23.566539813491808,-46.621063357060436,sao paulo,SP
1524,-23.595790997778302,-46.6203895778464,sao paulo,SP
1525,-23.56744154232788,-46.63789185345377,sao paulo,SP
1526,-23.56927878934157,-46.633900064948904,sao paulo,SP
1527,-23.564443368861426,-46.63092017430315,sao paulo,SP
1528,-23.56645966195391,-46.62885754065444,sao paulo,SP
1529,-23.5712918551272,-46.63850044255291,sao paulo,SP
1530,-23.586145389375964,-46.72796029067322,sao paulo,SP
1531,-23.573226278665768,-46.634857841392964,sao paulo,SP
1532,-23.574276293092474,-46.639412900773294,sao paulo,SP
1533,-23.57427206050551,-46.639520947544575,sao paulo,SP
1534,-23.573295262825397,-46.63020084430715,sao paulo,SP
1535,-23.5779437463212,-46.62780039592585,sao paulo,SP
1536,-23.580454253678788,-46.625920743262775,sao paulo,SP
1537,-23.580530016972705,-46.62455887539389,sao paulo,SP
1538,-23.580640157395074,-46.624777075828725,sao paulo,SP
1539,-23.573782561198005,-46.62185708021236,sao paulo,SP
1540,-23.56801010297762,-46.63936270234855,sao paulo,SP
1541,-23.572252299469124,-46.62099610283337,sao paulo,SP
1542,-23.5721878642738,-46.64430973747524,sao paulo,SP
1543,-23.57605309576425,-46.72079271288012,sao paulo,SP
1544,-23.581056321397657,-46.62728100000001,sao paulo,SP
1545,-23.582720640025364,-46.62451311226843,sao paulo,SP
1546,-23.58177123980033,-46.62523341251436,sao paulo,SP
1547,-23.584975486857317,-46.62592091035259,sao paulo,SP
1548,-23.580874414651756,-46.61548109339832,sao paulo,SP
1549,-23.58101906411219,-46.61826233299436,sao paulo,SP
1550,-23.57506794809284,-46.61917921816025,sao paulo,SP
1551,-23.576649380518194,-46.61386663615775,sao paulo,SP
1552,-23.575903292255763,-46.63156022690283,sao paulo,SP
1553,-23.576345490174667,-46.60968254215087,sao paulo,SP
2009,-23.515799103830265,-46.64113909097136,sao paulo,SP
2010,-23.51745177047145,-46.62790520107914,sao paulo,SP
2011,-23.51541538190317,-46.63182823719494,sao paulo,SP
2012,-23.51606094994728,-46.64180090617862,sao paulo,SP
2013,-23.505830161809683,-46.637789893011686,sao paulo,SP
2016,-23.613113126839394,-46.63174129087079,sao paulo,SP
2017,-23.50315461848341,-46.64211687108315,sao paulo,SP
2018,-23.50015005159061,-46.635178151415914,sao paulo,SP
2019,-23.49922424508045,-46.631949928298,sao paulo,SP
2020,-23.49933157507645,-46.63618290091753,sao paulo,SP
2021,-23.499772658895488,-46.63654625936763,sao paulo,SP
2022,-23.511005872390808,-46.65332779498016,sao paulo,SP
2028,-23.509644589167987,-46.61937144583994,sao paulo,SP
2029,-23.51167281041769,-46.62483959005585,sao paulo,SP
2030,-23.51534649909208,-46.624946520882204,sao paulo,SP
2031,-23.516577712187637,-46.62884887702652,sao paulo,SP
2032,-23.51388404134693,-46.624153363725526,sao paulo,SP
2033,-23.50768297861972,-46.62556834860633,sao paulo,SP
2034,-23.506377485429038,-46.625996549451145,sao paulo,SP
2035,-23.50553587141755,-46.62490093450284,sao paulo,SP
2036,-23.503498658895488,-46.62510373283696,sao paulo,SP
2037,-23.50367119900167,-46.62617733166945,sao paulo,SP
2038,-23.49864703978734,-46.6259374381095,sao paulo,SP
2039,-23.494239947679052,-46.62422380167987,sao paulo,SP
2040,-23.49182634179833,-46.62532542270183,sao paulo,SP
2041,-23.540707466558924,-46.705111333891146,sao paulo,SP
2042,-23.499604257285473,-46.619001502365926,sao paulo,SP
2043,-23.495338933777838,-46.61867136358129,sao paulo,SP
2044,-23.498877164031377,-46.62101801610015,sao paulo,SP
2045,-23.49932299417162,-46.617575280599006,sao paulo,SP
2046,-23.49939911212422,-46.613111641554575,sao paulo,SP
2047,-23.51942310574757,-46.62184108234091,sao paulo,SP
2049,-23.5149758170985,-46.618618542867715,sao paulo,SP
2050,-23.51894951041601,-46.61483510615161,sao paulo,SP
2051,-23.51710035137629,-46.611286543164574,sao paulo,SP
2052,-23.52073166833056,-46.61023879753587,sao paulo,SP
2053,-23.520545905360922,-46.60700676657631,sao paulo,SP
2054,-23.519607978071452,-46.6107430073576,sao paulo,SP
2055,-23.515642466558923,-46.61060369663572,sao paulo,SP
2056,-23.515401446852074,-46.60599861893356,sao paulo,SP
2060,-23.51999449624909,-46.60606306549716,sao paulo,SP
2064,-23.519807581453094,-46.60353271870851,sao paulo,SP
2065,-23.515673493703602,-46.60804188402808,sao paulo,SP
2066,-23.510322671100518,-46.60964306327215,sao paulo,SP
2067,-23.510092631138573,-46.610988454065456,sao paulo,SP
